Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
648c2b6af1f5c747b2e02bba,5b61d0768de04c000171cf1b,APPROVED,2023-06-16T09:29:22.327000Z,2023-06-16T09:43:51.023000Z,2023-06-16T09:43:51.601000,2023-06-16T09:43:51.524874Z,869,C14AO3VL,1190,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c2b77909a5cd2850d3501,6149a2480ec7bd14c9fe92a5,APPROVED,2023-06-16T09:29:43.371000Z,2023-06-16T09:45:07.299000Z,2023-06-16T09:45:07.878000,2023-06-16T09:45:07.804614Z,924,C14AO3VL,303,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
648c2b96b6596fd2b49a65ec,5e37280e334b216bade0226a,APPROVED,2023-06-16T09:32:32.721000Z,2023-06-16T09:44:27.229000Z,2023-06-16T09:44:27.903000,2023-06-16T09:44:27.832986Z,715,C14AO3VL,168,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
648c2c97eb8cbaba44273015,6394001067969f8eeb01fc37,APPROVED,2023-06-16T09:34:15.709000Z,2023-06-16T09:47:08.175000Z,2023-06-16T09:47:08.746000,2023-06-16T09:47:08.680761Z,773,C14AO3VL,95,20,Male,Asian,Malaysia,Australia,Australia,English,DATA_EXPIRED,DATA_EXPIRED
648c2e702254283c976683e5,57a2319b4d107800016ddccc,APPROVED,2023-06-16T09:42:14.762000Z,2023-06-16T09:54:21.511000Z,2023-06-16T09:54:22.234000,2023-06-16T09:54:22.169601Z,727,C14AO3VL,665,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c2ea23b3ac2184e23605a,5e3a9e0dfbce8a296258c297,APPROVED,2023-06-16T09:43:41.916000Z,2023-06-16T09:56:49.705000Z,2023-06-16T09:56:50.273000,2023-06-16T09:56:50.200566Z,788,C14AO3VL,1091,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c32aeb3a5e0577dac90b7,62b39c0ea0a9909088d4270f,APPROVED,2023-06-16T10:00:18.535000Z,2023-06-16T10:12:36.901000Z,2023-06-16T10:12:37.516000,2023-06-16T10:12:37.433913Z,739,C14AO3VL,247,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
648c368e9779da6e6d649078,609cd482af38301896f8a663,APPROVED,2023-06-16T10:16:51.218000Z,2023-06-16T10:30:02.877000Z,2023-06-16T10:30:03.431000,2023-06-16T10:30:03.363113Z,792,C14AO3VL,9,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c3872401c0052710bd430,5c895c66f76b260001681aeb,APPROVED,2023-06-16T10:26:16.361000Z,2023-06-16T10:41:30.992000Z,2023-06-16T10:41:31.549000,2023-06-16T10:41:31.483452Z,915,C14AO3VL,353,38,Female,Mixed,Pakistan,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
648c38d25b7eb53d2ae9dfbf,5acd63a20527ba0001c28078,REJECTED,2023-06-16T10:26:55.048000Z,2023-06-16T10:30:19.224000Z,2023-06-16T12:53:17.879000Z,2023-06-16T10:30:20.319000Z,205,NOCODE,1064,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
648c3b7c9be10073009a9d36,60ce2b232de6361586396297,REJECTED,2023-06-16T10:40:13.701000Z,2023-06-16T10:41:46.876000Z,2023-06-16T12:53:10.174000Z,2023-06-16T10:41:47.579000Z,94,NOCODE,219,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
648c3ce208b42db45cf0dccd,5dcff490b043890effa91b55,REJECTED,2023-06-16T10:43:49.823000Z,2023-06-16T10:47:20.904000Z,2023-06-16T12:53:01.266000Z,2023-06-16T10:47:21.777000Z,212,NOCODE,830,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
648c3ec915fcce41904d2777,5c50efd2cc71f4000125ce0d,REJECTED,2023-06-16T10:52:20.877000Z,2023-06-16T11:00:01.827000Z,2023-06-16T12:52:50.511000Z,2023-06-16T11:00:02.633000Z,461,NOCODE,1150,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
648c40ace6772a13fb526199,60fd274decb79fba37f2e72e,REJECTED,2023-06-16T11:00:58.949000Z,2023-06-16T11:05:15.684000Z,2023-06-16T12:52:43.185000Z,2023-06-16T11:05:16.535000Z,257,NOCODE,227,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
648c4148f9037218b58b6701,63d2b22da2bc79f659e4a4a7,REJECTED,2023-06-16T11:02:42.101000Z,2023-06-16T11:06:20.502000Z,2023-06-16T12:52:03.498000Z,2023-06-16T11:06:21.505000Z,219,NOCODE,247,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
648c5ba099fd90d943e699ca,611578fe8cbea39bf4928b6d,APPROVED,2023-06-16T12:54:59.336000Z,2023-06-16T13:19:37.429000Z,2023-06-16T13:19:40.130000,2023-06-16T13:19:40.059929Z,1479,C14AO3VL,1596,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c5ba136ef4b9257de2892,5ffcd1eacfbe9e161495d884,APPROVED,2023-06-16T12:55:00.733000Z,2023-06-16T13:08:02.890000Z,2023-06-16T13:08:03.461000,2023-06-16T13:08:03.391665Z,783,C14AO3VL,1342,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
648c5ba1500ec652d4c5ea9a,5e625e452a6dce000bf8f7a7,APPROVED,2023-06-16T12:55:04.084000Z,2023-06-16T13:07:55.863000Z,2023-06-16T13:07:56.537000,2023-06-16T13:07:56.459307Z,772,C14AO3VL,376,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c5ba19d667047e1023974,63dcf52406a122c6bdcd054c,APPROVED,2023-06-16T12:55:02.021000Z,2023-06-16T13:13:02.721000Z,2023-06-16T13:13:03.345000,2023-06-16T13:13:03.261848Z,1081,C14AO3VL,243,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
648c5ba28b6bf9e48667f084,63ebd39a63bb79b50d438ab7,APPROVED,2023-06-16T12:54:58.175000Z,2023-06-16T13:10:16.835000Z,2023-06-16T13:10:23.832000,2023-06-16T13:10:23.770724Z,919,C14AO3VL,250,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c5f65127f6b39cc4871b3,61fa936e5719bc09cb834cbe,APPROVED,2023-06-16T13:11:06.419000Z,2023-06-16T13:24:29.369000Z,2023-06-16T13:24:30.159000,2023-06-16T13:24:30.103986Z,803,C14AO3VL,653,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
