participant,age_prolific,sex_prolific,nationality_prolific,language_prolific,native_languages_qual,other_languages_qual,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,FJ_test.keys,FJ_test.rt
5a0c036857cee70001767a219,,,,,,,126,testing_3,sh2j,ai,sh2j_ai,sh2j_8_aijai.wav,sh2j_8_aijai.wav,,TRUE,FALSE,,,f,0.4731
5a0c036857cee70001767a220,,,,,,,120,testing_3,sh2x,i,sh2x_i,sh2x_8_ixi.wav,sh2x_1_ishi.wav,,FALSE,FALSE,,,j,0.4678
5a0c036857cee70001767a221,,,,,,,143,testing_3,sh2j,i,sh2j_i,sh2j_1_ishi.wav,sh2j_8_iji.wav,,FALSE,FALSE,,,j,0.2848
5a0c036857cee70001767a222,,,,,,,45,testing_3,zh2sh,i,zh2sh_i,zh2sh_1_izhi.wav,zh2sh_1_izhi.wav,,TRUE,FALSE,,,f,0.134
5a0c036857cee70001767a223,,,,,,,43,testing_3,zh2sh,ei,zh2sh_ei,zh2sh_1_eizhei.wav,zh2sh_8_eishei.wav,,FALSE,FALSE,,,j,0.101
5a0c036857cee70001767a224,,,,,,,124,testing_3,sh2j,a,sh2j_a,sh2j_8_aja.wav,sh2j_1_asha.wav,,FALSE,FALSE,,,j,0.0837
5a0c036857cee70001767a225,,,,,,,1,testing_1,zh2x,a,zh2x_a,zh2x_1_azha.wav,zh2x_1_azha_copy.wav,,TRUE,TRUE,,,f,0.0402
5a0c036857cee70001767a226,,,,,,,78,testing_3,j2x,ai,j2x_ai,j2x_8_aixai.wav,j2x_8_aixai.wav,,TRUE,FALSE,,,f,0.0034
5a0c036857cee70001767a227,,,,,,,144,testing_3,sh2j,i,sh2j_i,sh2j_8_iji.wav,sh2j_1_ishi.wav,,FALSE,FALSE,,,j,0.0842
5a0c036857cee70001767a228,,,,,,,139,testing_3,sh2j,ei,sh2j_ei,sh2j_1_eishei.wav,sh2j_8_eijei.wav,,FALSE,FALSE,,,j,0.1553
5a0c036857cee70001767a229,,,,,,,7,testing_1,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,zh2x_8_exe.wav,,FALSE,TRUE,,,j,0.0237
5a0c036857cee70001767a230,,,,,,,26,testing_3,zh2sh,a,zh2sh_a,zh2sh_8_asha.wav,zh2sh_8_asha.wav,,TRUE,FALSE,,,f,0.0509
5a0c036857cee70001767a231,,,,,,,97,testing_3,sh2x,a,sh2x_a,sh2x_1_asha.wav,sh2x_1_asha.wav,,TRUE,FALSE,,,f,0.234
5a0c036857cee70001767a232,,,,,,,34,testing_3,zh2sh,au,zh2sh_au,zh2sh_8_aushau.wav,zh2sh_8_aushau.wav,,TRUE,FALSE,,,f,0.1771
5a0c036857cee70001767a233,,,,,,,60,testing_3,zh2j,au,zh2j_au,zh2j_8_aujau.wav,zh2j_1_auzhau.wav,,FALSE,FALSE,,,j,0.452
5a0c036857cee70001767a234,,,,,,,80,testing_3,j2x,ai,j2x_ai,j2x_8_aixai.wav,j2x_1_aijai.wav,,FALSE,FALSE,,,j,0.084
5a0c036857cee70001767a235,,,,,,,73,testing_3,j2x,a,j2x_a,j2x_1_aja.wav,j2x_1_aja.wav,,TRUE,FALSE,,,f,0.1538
5a0c036857cee70001767a236,,,,,,,110,testing_3,sh2x,e,sh2x_e,sh2x_8_exe.wav,sh2x_8_exe.wav,,TRUE,FALSE,,,f,0.0239
5a0c036857cee70001767a237,,,,,,,75,testing_3,j2x,a,j2x_a,j2x_1_aja.wav,j2x_8_axa.wav,,FALSE,FALSE,,,j,0.0636
5a0c036857cee70001767a238,,,,,,,84,testing_3,j2x,au,j2x_au,j2x_8_auxau.wav,j2x_1_aujau.wav,,FALSE,FALSE,,,f,2.1777
5a0c036857cee70001767a239,,,,,,,79,testing_3,j2x,ai,j2x_ai,j2x_1_aijai.wav,j2x_8_aixai.wav,,FALSE,FALSE,,,j,0.4013
5a0c036857cee70001767a240,,,,,,,58,testing_3,zh2j,au,zh2j_au,zh2j_8_aujau.wav,zh2j_8_aujau.wav,,TRUE,FALSE,,,f,0.8018
5a0c036857cee70001767a241,,,,,,,51,testing_3,zh2j,a,zh2j_a,zh2j_1_azha.wav,zh2j_8_aja.wav,,FALSE,FALSE,,,f,0.5679
5a0c036857cee70001767a242,,,,,,,72,testing_3,zh2j,i,zh2j_i,zh2j_8_iji.wav,zh2j_1_izhi.wav,,FALSE,FALSE,,,j,0.1972
5a0c036857cee70001767a243,,,,,,,71,testing_3,zh2j,i,zh2j_i,zh2j_1_izhi.wav,zh2j_8_iji.wav,,FALSE,FALSE,,,j,0.1841
5a0c036857cee70001767a244,,,,,,,23,testing_2,zh2x,ei,zh2x_ei,zh2x_1_eizhei.wav,zh2x_8_eixei.wav,,FALSE,FALSE,,,j,0.0583
5a0c036857cee70001767a245,,,,,,,136,testing_3,sh2j,e,sh2j_e,sh2j_8_eje.wav,sh2j_1_eshe.wav,,FALSE,FALSE,,,j,0.1711
5a0c036857cee70001767a246,,,,,,,112,testing_3,sh2x,e,sh2x_e,sh2x_8_exe.wav,sh2x_1_eshe.wav,,FALSE,FALSE,,,j,0.4177
5a0c036857cee70001767a247,,,,,,,122,testing_3,sh2j,a,sh2j_a,sh2j_8_aja.wav,sh2j_8_aja.wav,,TRUE,FALSE,,,f,0.1171
5a0c036857cee70001767a248,,,,,,,6,testing_1,zh2x,e,zh2x_e,zh2x_8_exe.wav,zh2x_8_exe_copy.wav,,TRUE,TRUE,,,f,0.1332
5a0c036857cee70001767a249,,,,,,,119,testing_3,sh2x,i,sh2x_i,sh2x_1_ishi.wav,sh2x_8_ixi.wav,,FALSE,FALSE,,,j,0.2012
5a0c036857cee70001767a250,,,,,,,57,testing_3,zh2j,au,zh2j_au,zh2j_1_auzhau.wav,zh2j_1_auzhau.wav,,TRUE,FALSE,,,f,0.38
5a0c036857cee70001767a251,,,,,,,87,testing_3,j2x,e,j2x_e,j2x_1_eje.wav,j2x_8_exe.wav,,FALSE,FALSE,,,j,0.1024
5a0c036857cee70001767a252,,,,,,,134,testing_3,sh2j,e,sh2j_e,sh2j_8_eje.wav,sh2j_8_eje.wav,,TRUE,FALSE,,,f,1.0385
5a0c036857cee70001767a253,,,,,,,12,testing_1,zh2x,i,zh2x_i,zh2x_8_ixi.wav,zh2x_1_izhi.wav,,FALSE,TRUE,,,j,0.1182
5a0c036857cee70001767a254,,,,,,,56,testing_3,zh2j,ai,zh2j_ai,zh2j_8_aijai.wav,zh2j_1_aizhai.wav,,FALSE,FALSE,,,f,0.118
5a0c036857cee70001767a255,,,,,,,17,testing_2,zh2x,au,zh2x_au,zh2x_1_auzhau.wav,zh2x_1_auzhau.wav,,TRUE,FALSE,,,f,0.2339
5a0c036857cee70001767a256,,,,,,,111,testing_3,sh2x,e,sh2x_e,sh2x_1_eshe.wav,sh2x_8_exe.wav,,FALSE,FALSE,,,j,0.1808
5a0c036857cee70001767a257,,,,,,,29,testing_3,zh2sh,ai,zh2sh_ai,zh2sh_1_aizhai.wav,zh2sh_1_aizhai.wav,,TRUE,FALSE,,,f,0.3841
5a0c036857cee70001767a258,,,,,,,104,testing_3,sh2x,ai,sh2x_ai,sh2x_8_aixai.wav,sh2x_1_aishai.wav,,FALSE,FALSE,,,j,0.1845
5a0c036857cee70001767a259,,,,,,,30,testing_3,zh2sh,ai,zh2sh_ai,zh2sh_8_aishai.wav,zh2sh_8_aishai.wav,,TRUE,FALSE,,,f,0.0005
5a0c036857cee70001767a260,,,,,,,106,testing_3,sh2x,au,sh2x_au,sh2x_8_auxau.wav,sh2x_8_auxau.wav,,TRUE,FALSE,,,f,0.4362
5a0c036857cee70001767a261,,,,,,,44,testing_3,zh2sh,ei,zh2sh_ei,zh2sh_8_eishei.wav,zh2sh_1_eizhei.wav,,FALSE,FALSE,,,j,0.0172
5a0c036857cee70001767a262,,,,,,,16,testing_2,zh2x,ai,zh2x_ai,zh2x_8_aixai.wav,zh2x_1_aizhai.wav,,FALSE,FALSE,,,j,0.1053
